Event,Width (km),Reference,Rupture length (m),Reference
Landers,15,"Dreger, 1994",84722.12096,from ECS lines Sarmiento et al. (2021)
HectorMine,15,Nazareth and Haukssono (2004),48174.14928,from ECS lines Sarmiento et al. (2021)
Borrego,15,Nazareth and Haukssono (2004),31546.4857,from ECS lines Sarmiento et al. (2021)
Imperial1979,15,Nazareth and Haukssono (2004),32653.11565,from ECS lines Sarmiento et al. (2021)
SuperstitionHills,15,Nazareth and Haukssono (2004),27616.74248,from ECS lines Sarmiento et al. (2021)
Napa,NaN,NaN,22219.97451,from ECS lines Sarmiento et al. (2021)
Parkfield2004,12,Mendoza and Hartzell (2008),32401.84096,from ECS lines Sarmiento et al. (2021)
SanFernando,17,Nazareth and Haukssono (2004),NaN,from ECS lines Sarmiento et al. (2021)
Imperial1940,15,Nazareth and Haukssono (2004),60614.7513,from ECS lines Sarmiento et al. (2021)
Parkfield1966,12,Mendoza and Hartzell (2008),37814.12967,from ECS lines Sarmiento et al. (2021)
GalwayLake,15,Nazareth and Haukssono (2004),6900.284521,from ECS lines Sarmiento et al. (2021)
Kern,17,Nazareth and Haukssono (2004),NaN,from ECS lines Sarmiento et al. (2021)
ChalfantValley,15,Nazareth and Haukssono (2004),14207.54273,from ECS lines Sarmiento et al. (2021)
OwensValley,16,Nazareth and Haukssono (2004),NaN,from ECS lines Sarmiento et al. (2021)
Ridgecrest1,15,"Wang et al. (2020), Milliner et al. (2021)",14005.31824,from ECS lines Sarmiento et al. (2021)
Ridgecrest2,15,"Wang et al. (2020), Milliner et al. (2021)",42476.65273,from ECS lines Sarmiento et al. (2021)
ElmoreRanch,15,Nazareth and Haukssono (2004),8899.979562,from ECS lines Sarmiento et al. (2021)